audio,text
welcome.wav,"မင်္ဂလာပါ။ ကျွန်မကတော့ Naypyitaw State Polytechnic University စက်မှုအင်ဂျင်နီယာဌာနမှ ကျောင်းသားများ ဖန်တီးထားသော AI စက်ရုပ်တစ်ခုဖြစ်ပါတယ်။"
nspu_overview.wav,"NayPyiTaw State Polytechnic University သည် ပုဗ္ဗသီရိမြို့နယ်တွင် တည်ရှိပါတယ်။ ဤတက္ကသိုလ်တွင် မြို့ပြ၊ စက်မှု၊ အီလက်ထရွန်နစ်၊ လျှပ်စစ်စွမ်းအား၊ စိုက်ပျိုးရေး၊ ကွန်ပျူတာ နှင့် ဗိသုကာ ဘာသာရပ်များကို သင်ကြားပေးလျက် ရှိပါတယ်။"
saying_demo.wav,"အင်တာနက် ချိတ်ဆက်မှု မရှိသည့်အတွက် ကျွန်မရဲ့ စွမ်းဆောင်နိုင်စွမ်း အစစ်အမှန်ကို မပြသနိုင်သော်လည်း ယခု Demo Version မှတစ်ဆင့် Screen ဖြင့် Interactive ဖြစ်အောင် ပြုလုပ်ထားပါတယ်။"
goodbye.wav,"အခုလို မိတ်ဆက်ခွင့်ရရှိသည့်အတွက် ကျေးဇူးတင်ပါတယ်ရှင်။ နှုတ်ဆက်လိုက်ပါတယ်ရှင်။"
